name,city,state,industry,type
Boston Interpreters Collective,Boston,Massachusetts,Business Support Services - Translation & Interpretation,Democratic Workplace
Bound Together Bookstore,San Francisco,California,Media - Bookstores & Publishers,Democratic Workplace
Bountiful Backyards,Durham,North Carolina,Build & Design - Landscaping,Worker Co-op
Box Dog Bikes,San Francisco,California,Retail,Worker Co-op
"Bread & Roses Digital, LLC",Center Ossipee,New Hampshire,Media - Digital Production,Worker Co-op
Broadway Bicycle School,Cambridge,Massachusetts,Transportation - Service & Repair,Worker Co-op
Brooklyn Packers,Brooklyn,New York,Food & Beverage - Grocery,Worker Co-op
Buffalo Mountain Food Co-op & Cafe,Hardwick,Vermont,Food & Beverage - Grocery,Democratic Workplace
Built by Many,Detroit,Michigan,Business Support Services - Consulting,Worker Co-op
Byggmeister Inc.,Newton,Massachusetts,Build & Design - Construction,Worker Co-op
C4 Tech & Design,New Orleans,Louisiana,Technology - Support Services,Worker Co-op
Cajou Creamery,Baltimore,Maryland,Food & Beverage - Production & Manufacturing,Democratic Workplace
California Solar Electric Cooperative Corporation,Grass Valley,California,Build & Design - Solar Installation,Worker Co-op
CalmUnity Farms DBA The Dabber Hashery,Elmira,New York,Food & Beverage - Agriculture,Worker Co-op
Capital Bookkeeping Cooperative,Albany,New York,Business Support Services - Accounting & Bookkeeping,Worker Co-op
Capital Homecare Cooperative,Olympia,Washington,Health - Home Care,Worker Co-op
Carroll Garden Cleaning,Brooklyn,New York,Cleaning Services,Worker Co-op
Casa Nueva Restaurant,Athens,Ohio,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Cascade Mountain Ascents,Bellingham,Washington,Tourism & Hospitality,Worker Co-op
Cascadia Deaf Nation,Bellingham,Washington,Business Support Services - General,Worker Co-op
Catalyst Cooperative,Boulder,Colorado,Energy,Worker Co-op
Catamount Solar,Randolph,Vermont,Build & Design - Solar Installation,Worker Co-op
"Celebration Tree Farm & Wellness Center, LLC",Durham,Maine,Food & Beverage - Agriculture,Worker Co-op
Central Coop,Seattle,Washington,Food & Beverage - Grocery,Democratic Workplace
Cenzontle LLC,Asheville,North Carolina,Business Support Services - Translation & Interpretation,Worker Co-op
CERO cooperative Inc,Boston,Massachusetts,Waste - Compost Services,Worker Co-op
